repyr,appr_trade_code,appr_sponsors,appr_pub_tdas,appr_priv_tdas
2013,425A,174,9,1
2013,310E,25,1,0
2013,310B,806,5,0
2013,310Q,137,5,0
2013,310K,46,0,0
2013,274L,18,0,0
2013,410N,106,1,0
2013,310S,5603,16,0
2013,421A,553,11,1
2013,435B,156,4,0
2013,410K,20,0,0
2013,310G,181,2,0
2013,282E,47,9,1
2013,690H,32,1,0
2013,435A,210,4,0
2013,295A,13,0,0
2013,310D,56,1,0
2013,310T,1731,11,1
2013,310J,116,1,0
2013,421C,8,1,0
2013,424A,45,0,2
2013,401A,444,6,4
2013,244G,22,0,5
2013,419A,1,0,0
2013,637C,2,0,1
2013,428A,2,1,0
2013,450A,132,2,11
2013,426A,25,4,0
2013,453A,31,0,1
2013,451A,37,0,4
2013,455A,3,0,1
2013,309A,3510,19,1
2013,309C,84,18,0
2013,448A,52,1,1
2013,403A,2609,17,1
2013,253H,1,0,3
2013,253A,5,0,1
2013,636C,28,1,1
2013,636B,52,1,1
2013,636A,42,1,1
2013,339A,92,1,2
2013,339C,40,1,1
2013,339B,29,1,1
2013,420B,1,0,1
2013,420A,11,1,3
2013,296A,7,0,0
2013,404C,41,0,1
2013,404D,9,0,2
2013,306A,1586,12,1
2013,434A,147,0,4
2013,244K,3,0,0
2013,244L,1,0,0
2013,313A,904,6,1
2013,452A,8,1,3
2013,308R,55,3,0
2013,313D,251,7,0
2013,244H,4,0,1
2013,449A,56,2,0
2013,308A,726,4,2
2013,427A,23,0,1
2013,307A,79,4,1
2013,241A,23,0,1
2013,610C,45,0,0
2013,615A,0,0,0
2013,600P,4,0,0
2013,438A,438,4,0
2013,268A,1,0,0
2013,267G,1,0,0
2013,670C,21,1,0
2013,670D,0,0,0
2013,614A,6,0,0
2013,614B,9,0,0
2013,614C,1,0,0
2013,446A,19,0,0
2013,617A,3,0,0
2013,289F,1,0,0
2013,636E,57,1,1
2013,269E,2,0,0
2013,255W,55,1,0
2013,255B,50,1,0
2013,661H,0,0,0
2013,636G,18,1,0
2013,429A,1002,14,0
2013,277Z,7,0,0
2013,442A,751,20,0
2013,433A,1448,14,0
2013,447A,60,7,0
2013,207S,1,0,0
2013,259L,22,0,0
2013,430M,35,12,0
2013,437A,252,11,5
2013,431A,132,12,0
2013,225A,1,0,0
2013,609C,3,0,0
2013,443A,13,12,0
2013,200G,48,1,0
2013,456P,2,0,3
2013,246T,17,2,0
2013,246R,2,0,0
2013,246F,19,0,0
2013,263F,5,0,0
2013,268R,6,1,0
2013,288R,1,0,0
2013,602H,0,0,0
2013,611B,7,1,0
2013,297A,2,0,0
2013,278B,14,0,0
2013,630B,3,0,0
2013,225F,1,0,0
2013,602C,0,0,0
2013,430A,478,12,0
2013,239b,0,0,0
2013,630T,29,12,0
2013,638A,91,0,0
2013,800A,662,0,0
2013,605B,8,0,0
2013,456A,634,12,7
2013,211W,5,0,0
2013,620B,1,0,0
2013,640D,67,0,1
2013,640F,2,0,0
2013,640S,10,0,0
2013,445A,37,0,0
2013,444A,158,2,0
2013,415B,200,19,1
2013,423A,115,3,0
2013,423C,280,2,0
2013,297C,3,0,0
2013,415C,19,1,0
2013,620A,479,4,0
2013,620C,2274,15,0
2013,620G,50,1,0
2013,415A,2395,21,1
2013,620D,226,11,0
2013,620E,268,5,0
2013,416E,8,0,0
2013,606G,2,0,0
2013,332A,4071,12,2
2013,606W,31,0,0
2013,600H,30,0,1
2013,219D,0,0,0
2013,441C,517,4,1
2013,634E,103,7,0
2013,634D,39,6,0
2013,634A,47,5,0
2013,634B,70,1,0
2013,634C,30,1,0
2013,415D,19,3,0
2013,630A,5,1,0
2013,296B,0,0,0
2013,631A,72,1,1
2013,240P,157,2,0
2013,237T,15,0,0
2013,237S,24,0,0
2013,245R,82,0,1
2013,219C,1,0,0
2013,297B,24,0,0
2013,444B,37,2,1
2014,620B,1,0,0
2014,640D,54,0,1
2014,640F,1,0,0
2014,640S,7,0,0
2014,425A,156,9,1
2014,610C,0,0,0
2014,310E,18,1,0
2014,445A,36,0,0
2014,444A,164,2,0
2014,424A,46,0,2
2014,415B,169,19,1
2014,310B,764,5,0
2014,310Q,116,5,0
2014,310K,45,0,0
2014,274L,18,0,0
2014,410N,92,1,0
2014,310S,5454,16,0
2014,423A,116,3,0
2014,423C,284,2,0
2014,615A,0,0,0
2014,297C,2,0,0
2014,600P,4,0,0
2014,401A,451,6,4
