repyr,reg_status,appr_trade_code,appr_trade_name,comp_vol,gender,total_reg,mean_age,sd_age,total_NA,total_cont,total_comp,total_disc,mean_reg_dur,mean_date_reg
2011,Already registered (beginning of report period),200G,Precision Metal Fabricator,Voluntary,Female,7,42.00195695,6.472815336,0,6,0,1,9.016438356,20021227
2011,Already registered (beginning of report period),200G,Precision Metal Fabricator,Voluntary,Male,140,39.45227006,9.518639674,0,128,7,5,9.941976517,20020123
2011,Already registered (beginning of report period),207S,Light Rail Overhead Contact Systems Lineperson,Voluntary,Male,10,35.01369863,5.414855157,0,9,1,0,3.405479452,20080805
2011,Already registered (beginning of report period),211W,Wooden Boat Rebuilder/Repairer,Voluntary,Male,6,28.32739726,3.182052669,0,6,0,0,6.256164384,20050929
2011,Already registered (beginning of report period),219C,Saddlery,Voluntary,Male,1,.,.,.,.,.,.,.,.
2011,Already registered (beginning of report period),225A,Optics Technician (Lens and Prism Maker),Voluntary,Female,1,.,.,.,.,.,.,.,.
2011,Already registered (beginning of report period),225A,Optics Technician (Lens and Prism Maker),Voluntary,Male,10,26.83013699,3.877524696,0,9,1,0,2.713972603,20090414
2011,Already registered (beginning of report period),225F,Thin Film Technician,Voluntary,Female,2,.,.,.,.,.,.,.,.
2011,Already registered (beginning of report period),229B,Drywall Acoustic And Lathing Applicator,Voluntary,Male,2,.,.,.,.,.,.,.,.
2011,Already registered (beginning of report period),237S,Pool and Hot Tub/Spa Service Technician,Voluntary,Female,2,.,.,.,.,.,.,.,.
2011,Already registered (beginning of report period),237S,Pool and Hot Tub/Spa Service Technician,Voluntary,Male,62,34.41590809,8.98779581,0,60,1,1,5.953733981,20060117
2011,Already registered (beginning of report period),237T,Pool/Hot Tub and Spa Installer,Voluntary,Male,40,33.70164384,8.641417392,0,40,0,0,4.967876712,20070112
2011,Already registered (beginning of report period),239B,Tool and Gauge Inspector,Voluntary,Male,2,.,.,.,.,.,.,.,.
2011,Already registered (beginning of report period),240P,Parts Technician,Voluntary,Female,49,34.38272295,11.27922567,0,45,3,1,4.447190383,20070721
2011,Already registered (beginning of report period),240P,Parts Technician,Voluntary,Male,179,34.55178694,12.58285639,0,158,14,7,5.092278258,20061128
2011,Already registered (beginning of report period),241A,Terrazzo; Tile and Marble Setter,Voluntary,Female,3,.,.,.,.,.,.,.,.
2011,Already registered (beginning of report period),241A,Terrazzo; Tile and Marble Setter,Voluntary,Male,163,32.53212875,7.344340533,0,151,9,3,4.698142701,20070421
2011,Already registered (beginning of report period),243A,Roofer,Voluntary,Male,1,.,.,.,.,.,.,.,.
2011,Already registered (beginning of report period),244G,Cement (Concrete ) Finisher,Voluntary,Female,2,.,.,.,.,.,.,.,.
2011,Already registered (beginning of report period),244G,Cement (Concrete ) Finisher,Voluntary,Male,229,34.6207932,9.457140667,0,222,0,7,6.247041933,20051002
2011,Already registered (beginning of report period),244H,Restoration Mason,Voluntary,Female,1,.,.,.,.,.,.,.,.
2011,Already registered (beginning of report period),244H,Restoration Mason,Voluntary,Male,11,42.22988792,12.05937581,0,11,0,0,11.63188045,20000516
2011,Already registered (beginning of report period),244K,Precast Concrete Erector,Voluntary,Male,19,47.39005047,12.14281698,0,18,0,1,14.46142754,19970718
2011,Already registered (beginning of report period),244L,Precast Concrete Finisher,Voluntary,Male,2,.,.,.,.,.,.,.,.
2011,Already registered (beginning of report period),245R,Retail Meat Cutter,Voluntary,Female,3,.,.,.,.,.,.,.,.
2011,Already registered (beginning of report period),245R,Retail Meat Cutter,Voluntary,Male,108,28.22044647,8.849855977,0,96,7,5,3.975697615,20080109
