province,noc_name,noc_code,repyr,statistic,mean_value
Ontario,Accommodation service managers,632,2015,Average offered hourly wage (dollars),24
Ontario,Accommodation service managers,632,2015,Job vacancies,70
Ontario,Accommodation service managers,632,2016,Average offered hourly wage (dollars),20.15
Ontario,Accommodation service managers,632,2016,Job vacancies,.
Ontario,Accommodation; travel; tourism and related services supervisors,6313,2015,Average offered hourly wage (dollars),19.7
Ontario,Accommodation; travel; tourism and related services supervisors,6313,2015,Job vacancies,.
Ontario,Accommodation; travel; tourism and related services supervisors,6313,2016,Average offered hourly wage (dollars),.
Ontario,Accommodation; travel; tourism and related services supervisors,6313,2016,Job vacancies,.
Ontario,Accounting and related clerks,1431,2015,Average offered hourly wage (dollars),18.71666667
Ontario,Accounting and related clerks,1431,2015,Job vacancies,565
Ontario,Accounting and related clerks,1431,2016,Average offered hourly wage (dollars),17.675
Ontario,Accounting and related clerks,1431,2016,Job vacancies,627.5
Ontario,Accounting technicians and bookkeepers,1311,2015,Average offered hourly wage (dollars),19.8
Ontario,Accounting technicians and bookkeepers,1311,2015,Job vacancies,282.5
Ontario,Accounting technicians and bookkeepers,1311,2016,Average offered hourly wage (dollars),17.625
Ontario,Accounting technicians and bookkeepers,1311,2016,Job vacancies,382.5
Ontario,Actors and comedians,5135,2015,Average offered hourly wage (dollars),.
Ontario,Actors and comedians,5135,2015,Job vacancies,.
Ontario,Actors and comedians,5135,2016,Average offered hourly wage (dollars),.
Ontario,Actors and comedians,5135,2016,Job vacancies,.
Ontario,Administrative assistants,1241,2015,Average offered hourly wage (dollars),19.26666667
Ontario,Administrative assistants,1241,2015,Job vacancies,1183.333333
Ontario,Administrative assistants,1241,2016,Average offered hourly wage (dollars),18.65
Ontario,Administrative assistants,1241,2016,Job vacancies,885
Ontario,Administrative officers,1221,2015,Average offered hourly wage (dollars),21.46666667
Ontario,Administrative officers,1221,2015,Job vacancies,761.6666667
Ontario,Administrative officers,1221,2016,Average offered hourly wage (dollars),21.025
Ontario,Administrative officers,1221,2016,Job vacancies,772.5
Ontario,Administrators - post-secondary education and vocational training,421,2015,Average offered hourly wage (dollars),40.25
Ontario,Administrators - post-secondary education and vocational training,421,2015,Job vacancies,71.66666667
Ontario,Administrators - post-secondary education and vocational training,421,2016,Average offered hourly wage (dollars),48.4
Ontario,Administrators - post-secondary education and vocational training,421,2016,Job vacancies,80
Ontario,Advertising; marketing and public relations managers,124,2015,Average offered hourly wage (dollars),39.45
Ontario,Advertising; marketing and public relations managers,124,2015,Job vacancies,858.3333333
Ontario,Advertising; marketing and public relations managers,124,2016,Average offered hourly wage (dollars),37.2
Ontario,Advertising; marketing and public relations managers,124,2016,Job vacancies,1097.5
Ontario,Aerospace engineers,2146,2015,Average offered hourly wage (dollars),36.275
Ontario,Aerospace engineers,2146,2015,Job vacancies,15
Ontario,Aerospace engineers,2146,2016,Average offered hourly wage (dollars),34.3
Ontario,Aerospace engineers,2146,2016,Job vacancies,20
Ontario,Agricultural and fish products inspectors,2222,2015,Average offered hourly wage (dollars),.
Ontario,Agricultural and fish products inspectors,2222,2015,Job vacancies,.
Ontario,Agricultural and fish products inspectors,2222,2016,Average offered hourly wage (dollars),.
Ontario,Agricultural and fish products inspectors,2222,2016,Job vacancies,.
Ontario,Agricultural representatives; consultants and specialists,2123,2015,Average offered hourly wage (dollars),.
Ontario,Agricultural representatives; consultants and specialists,2123,2015,Job vacancies,.
Ontario,Agricultural representatives; consultants and specialists,2123,2016,Average offered hourly wage (dollars),.
Ontario,Agricultural representatives; consultants and specialists,2123,2016,Job vacancies,.
Ontario,Agricultural service contractors; farm supervisors and specialized livestock workers,8252,2015,Average offered hourly wage (dollars),16.6
Ontario,Agricultural service contractors; farm supervisors and specialized livestock workers,8252,2015,Job vacancies,.
Ontario,Agricultural service contractors; farm supervisors and specialized livestock workers,8252,2016,Average offered hourly wage (dollars),15.2
Ontario,Agricultural service contractors; farm supervisors and specialized livestock workers,8252,2016,Job vacancies,.
Ontario,Air pilots; flight engineers and flying instructors,2271,2015,Average offered hourly wage (dollars),41.4
Ontario,Air pilots; flight engineers and flying instructors,2271,2015,Job vacancies,90
Ontario,Air pilots; flight engineers and flying instructors,2271,2016,Average offered hourly wage (dollars),.
Ontario,Air pilots; flight engineers and flying instructors,2271,2016,Job vacancies,.
Ontario,Air traffic controllers and related occupations,2272,2015,Average offered hourly wage (dollars),.
Ontario,Air traffic controllers and related occupations,2272,2015,Job vacancies,.
Ontario,Air traffic controllers and related occupations,2272,2016,Average offered hourly wage (dollars),.
Ontario,Air traffic controllers and related occupations,2272,2016,Job vacancies,.
Ontario,Air transport ramp attendants,7534,2015,Average offered hourly wage (dollars),.
Ontario,Air transport ramp attendants,7534,2015,Job vacancies,.
Ontario,Air transport ramp attendants,7534,2016,Average offered hourly wage (dollars),.
Ontario,Air transport ramp attendants,7534,2016,Job vacancies,.
Ontario,Aircraft assemblers and aircraft assembly inspectors,9521,2015,Average offered hourly wage (dollars),.
Ontario,Aircraft assemblers and aircraft assembly inspectors,9521,2015,Job vacancies,.
Ontario,Aircraft assemblers and aircraft assembly inspectors,9521,2016,Average offered hourly wage (dollars),.
Ontario,Aircraft assemblers and aircraft assembly inspectors,9521,2016,Job vacancies,.
Ontario,Aircraft instrument; electrical and avionics mechanics; technicians and inspectors,2244,2015,Average offered hourly wage (dollars),.
Ontario,Aircraft instrument; electrical and avionics mechanics; technicians and inspectors,2244,2015,Job vacancies,.
Ontario,Aircraft instrument; electrical and avionics mechanics; technicians and inspectors,2244,2016,Average offered hourly wage (dollars),.
Ontario,Aircraft instrument; electrical and avionics mechanics; technicians and inspectors,2244,2016,Job vacancies,.
Ontario,Aircraft mechanics and aircraft inspectors,7315,2015,Average offered hourly wage (dollars),22.8
Ontario,Aircraft mechanics and aircraft inspectors,7315,2015,Job vacancies,60
Ontario,Aircraft mechanics and aircraft inspectors,7315,2016,Average offered hourly wage (dollars),.
Ontario,Aircraft mechanics and aircraft inspectors,7315,2016,Job vacancies,.
Ontario,Airline ticket and service agents,6523,2015,Average offered hourly wage (dollars),13.9
Ontario,Airline ticket and service agents,6523,2015,Job vacancies,425
Ontario,Airline ticket and service agents,6523,2016,Average offered hourly wage (dollars),14
Ontario,Airline ticket and service agents,6523,2016,Job vacancies,.
Ontario,Allied primary health practitioners,3124,2015,Average offered hourly wage (dollars),44.35
Ontario,Allied primary health practitioners,3124,2015,Job vacancies,135
Ontario,Allied primary health practitioners,3124,2016,Average offered hourly wage (dollars),40.325
Ontario,Allied primary health practitioners,3124,2016,Job vacancies,120
Ontario,Animal health technologists and veterinary technicians,3213,2015,Average offered hourly wage (dollars),14.85
Ontario,Animal health technologists and veterinary technicians,3213,2015,Job vacancies,.
Ontario,Animal health technologists and veterinary technicians,3213,2016,Average offered hourly wage (dollars),16.325
Ontario,Animal health technologists and veterinary technicians,3213,2016,Job vacancies,110
Ontario,Announcers and other broadcasters,5231,2015,Average offered hourly wage (dollars),16
Ontario,Announcers and other broadcasters,5231,2015,Job vacancies,30
Ontario,Announcers and other broadcasters,5231,2016,Average offered hourly wage (dollars),.
Ontario,Announcers and other broadcasters,5231,2016,Job vacancies,.
Ontario,Appliance servicers and repairers,7332,2015,Average offered hourly wage (dollars),.
Ontario,Appliance servicers and repairers,7332,2015,Job vacancies,.
Ontario,Appliance servicers and repairers,7332,2016,Average offered hourly wage (dollars),.
Ontario,Appliance servicers and repairers,7332,2016,Job vacancies,.
Ontario,Aquaculture and marine harvest labourers,8613,2015,Average offered hourly wage (dollars),.
Ontario,Aquaculture and marine harvest labourers,8613,2015,Job vacancies,.
Ontario,Aquaculture and marine harvest labourers,8613,2016,Average offered hourly wage (dollars),.
Ontario,Aquaculture and marine harvest labourers,8613,2016,Job vacancies,.
Ontario,Architects,2151,2015,Average offered hourly wage (dollars),31.1
Ontario,Architects,2151,2015,Job vacancies,.
Ontario,Architects,2151,2016,Average offered hourly wage (dollars),35.8
Ontario,Architects,2151,2016,Job vacancies,.
Ontario,Architectural technologists and technicians,2251,2015,Average offered hourly wage (dollars),18.6
Ontario,Architectural technologists and technicians,2251,2015,Job vacancies,.
Ontario,Architectural technologists and technicians,2251,2016,Average offered hourly wage (dollars),16.9
Ontario,Architectural technologists and technicians,2251,2016,Job vacancies,.
Ontario,Architecture and science managers,212,2015,Average offered hourly wage (dollars),44.96666667
Ontario,Architecture and science managers,212,2015,Job vacancies,121.6666667
Ontario,Architecture and science managers,212,2016,Average offered hourly wage (dollars),48.3
Ontario,Architecture and science managers,212,2016,Job vacancies,130
Ontario,Archivists,5113,2015,Average offered hourly wage (dollars),.
Ontario,Archivists,5113,2015,Job vacancies,.
Ontario,Archivists,5113,2016,Average offered hourly wage (dollars),.
Ontario,Archivists,5113,2016,Job vacancies,.
Ontario,Artisans and craftspersons,5244,2015,Average offered hourly wage (dollars),.
