appr_trade_name,appr_trade_code,noc_code,appr_sector,appr_ratio,tax_train_cred,fact_sheets,red_seal,cofq,otj_hours,in_class_hours,train_std_year,curr_std_year,trade_board,acad_entry_req
Aboriginal Child Development Practitioner,620B,4214,SERVC,N,N,N,N,N,6480,720,2009,2009,N,12
Agricultural Equipment Technician,425A,7312,AUTO,N,Y,Y,Y,Y,6280,720,2014,2010,Y,12
Agricultural — Dairy Herdsperson,640D,8253,SERVC,N,N,N,N,N,5520,0,2009,2010,N,12
Agricultural — Fruit Grower,640F,821,SERVC,N,N,N,N,N,5520,480,2000,2.00E+03,N,12
Agricultural — Swine Herdsperson,640S,8252,SERVC,N,N,N,N,N,5520,480,2000,2.00E+03,N,12
Alignment and Brakes Technician,310E,7321,AUTO,N,Y,Y,N,Y,5400,480,2003,2004,Y,12
Appliance Service Technician,445A,7332,SERVC,N,N,Y,Y,Y,5280,720,2009,1999,Y,12
Arborist,444A,2225,SERVC,N,N,Y,N,Y,5400,720,2007,2008,Y,12
Architectural Glass and Metal Technician *,424A,7292,CONSTR,Y,Y,Y,Y,Y,7280,720,2008,2009,Y,10
Assistant Cook,415B,6322,SERVC,N,N,Y,N,N,2640,360,2000,2.00E+03,Y,10
Auto Body and Collision Damage Repairer,310B,7322,AUTO,N,Y,Y,Y,Y,7280,720,2015,2006,Y,12
Auto Body Repairer,310Q,7322,AUTO,N,Y,Y,N,Y,5520,480,2015,2006,Y,10
Automotive Electronic Accessory Technician,310K,7321,AUTO,N,Y,N,N,Y,3.00E+03,240,2003,2001,Y,12
Automotive Glass Technician,274L,7322,AUTO,N,Y,N,N,N,3760,240,2005,2005,Y,12
Automotive Painter,410N,7322,AUTO,N,Y,Y,Y,Y,4560,240,2015,2005,Y,12
Automotive Service Technician,310S,7321,AUTO,N,Y,Y,Y,Y,6500,720,2015,2010,Y,12
Baker,423A,6322,SERVC,N,N,N,N,N,5280,720,2003,2.00E+03,Y,12
Baker-Patissier,423C,6322,SERVC,N,N,Y,Y,Y,6130,870,2003,2.00E+03,Y,12
Bearings Mechanic,615A,7321,INDUST,N,Y,N,N,N,5760,240,2000,2.00E+03,Y,12
Blacksmith,600P,7384,INDUST,N,Y,N,N,N,5280,720,2000,2.00E+03,N,12
Brick and Stone Mason *,401A,7281,CONSTR,Y,Y,Y,Y,Y,4880,720,2007,2007,Y,8
Cabinetmaker,438A,7272,INDUST,N,Y,N,Y,Y,7280,720,2007,2011,Y,12
Cement (Concrete) Finisher,244G,7282,CONSTR,Y,Y,Y,Y,N,4500,480,2009,2004,Y,10
Chef,415C,6321,SERVC,N,N,N,N,N,1900,360,2004,2008,Y,415A Cook Certificate of Qualification + 1 year
Child Development Practitioner,620C,4214,SERVC,N,N,Y,N,N,5280,720,2003,2003,N,12
Child and Youth Worker,620A,4212,SERVC,N,N,Y,N,N,6240,960,2006,2006,N,12
Computer Numerical Control (CNC) Programmer,670C,2233,INDUST,N,Y,N,N,N,3760,240,2005,2008,N,C/Q
Composite Structures Technician,267G,7315,INDUST,N,Y,N,N,N,5700,300,2000,2.00E+03,N,12
Concrete Pump Operator,637C,7611,CONSTR,N,Y,Y,N,N,2.00E+03,159,2008,2008,Y,12
Construction Boilermaker *,428A,7262,CONSTR,Y,Y,Y,Y,Y,5880,720,2004,2008,Y,10
Construction Craft Worker,450A,7611,CONSTR,N,Y,Y,Y,Y,2400,480,2000,2002,Y,10
Construction Millwright *,426A,7311,CONSTR,Y,Y,Y,N,Y,7280,720,2007,2011,Y,10
Cook ,415A,6322,SERVC,N,N,Y,Y,Y,5280,720,2003,2002,Y,12
Developmental Services Worker,620D,4212,SERVC,N,N,Y,N,N,3720,780,2008,2013,Y,12
Die Designer,670D,7232,INDUST,N,Y,N,N,N,3760,240,2003,2003,Y,430A Certificate of Qualification
Draftsperson — Mechanical,614A,2253,INDUST,N,Y,N,N,N,7400,600,2003,2003,Y,12
Draftsperson — Plastic Mould Design,614B,2253,INDUST,N,Y,N,N,N,7400,600,2000,2.00E+03,Y,12
Draftsperson — Tool and Die Design,614C,2253,INDUST,N,Y,N,N,N,7400,600,2000,2.00E+03,Y,12
Drywall; Acoustic and Lathing Applicator *,451A,7284,CONSTR,Y,Y,Y,N,Y,4800,600,2006,2003,Y,10
Drywall Finisher and Plasterer *,453A,7284,CONSTR,Y,Y,Y,Y,Y,4920,480,2008,2008,Y,8
